"Date","Check Number","Description","Debit","Credit","Running Balance"
,,,,,
06/21/2005,6502,"CHECK",20,,18606.39
06/21/2005,6510,"CHECK",89,,18517.39
06/21/2005,6520,"CHECK",425,,18092.39
06/23/2005,,"SFWY 1084 PIDGEON HILL",40,,18052.39
06/27/2005,6522,"CHECK",245,,17807.39
06/27/2005,6521,"CHECK",280,,17527.39
06/29/2005,6524,"WATSON SALSBURY EFT",25,,17502.39
06/29/2005,,"SFWY 1084 PIDGEON HILL",40,,17462.39
06/30/2005,,"ITT ADVANCED ENGPAYROLL",,3165.4,20627.79
07/01/2005,6525,"CHECK",73.68,,20554.11
07/01/2005,6523,"CHECK",4000,,16554.11
07/05/2005,,"DEPOSIT",,379.62,16933.73
07/05/2005,,"COUNTRYSIDE",100,,16833.73
07/06/2005,,"COUNTRYSIDE",60,,16773.73
07/06/2005,6527,"CHECK",14.27,,16759.46
07/06/2005,6526,"CHECK",102.32,,16657.14
07/07/2005,6464,"CHECK",13,,16644.14
07/07/2005,6518,"CHECK",940,,15704.14
07/08/2005,,"CHECK",39,,15665.14
07/11/2005,,"POTOMAC RUN 2",160,,15505.14
07/12/2005,6531,"DOM VA NC POWER BILLPYMT",89,,15416.14
07/12/2005,,"PROGRESSIVE INS.INS PREM",446.05,,14970.09
07/12/2005,6535,"CHECK",37,,14933.09
07/12/2005,6533,"CHECK",68,,14865.09
07/12/2005,6503,"CHECK",200,,14665.09
07/12/2005,6536,"CHECK",2274,,12391.09
07/13/2005,6528,"CHECK",450,,11941.09
07/14/2005,,"ITT ADVANCED ENGPAYROLL",,3759.91,15701
07/14/2005,6530,"CHECK",12,,15689
07/14/2005,6539,"CHECK",20.89,,15668.11
07/14/2005,6541,"CHECK",126.15,,15541.96
07/15/2005,6540,"PARTY DEPOT     EFT",15.59,,15526.37
07/15/2005,,"DULLES VILLAGE",60,,15466.37
07/15/2005,6542,"CHECK",20.95,,15445.42
07/15/2005,6507,"CHECK",850,,14595.42
07/15/2005,6529,"CHECK",850,,13745.42
07/18/2005,,"POTOMAC RUN 2",40,,13705.42
07/18/2005,6534,"CHECK",65,,13640.42
07/18/2005,6532,"CHECK",69,,13571.42
07/18/2005,6537,"CHECK",180,,13391.42
07/19/2005,,"INTEREST PAYMENT",,1.28,13392.7
07/19/2005,6546,"AMERICAN EXPRESSCHECK PYMT",72,,13320.7
,,,,,
"	",,,,,
