"Date","Check Number","Description","Debit","Credit","Running Balance"
,,,,,
07/27/2005,6504,"CHECK",30,,13052.6
07/26/2005,6505,"CHECK",120,,13082.6
08/16/2005,6538,"CHECK",200,,14770.94
08/10/2005,6543,"CHECK",850,,13938.26
07/27/2005,6544,"CHECK",520,,12532.6
07/25/2005,6545,"CHECK",56,,13202.6
08/05/2005,6547,"CHECK",60,,14084.23
07/21/2005,6548,"CHECK",25,,13295.7
07/29/2005,6550,"CHECK",25,,15700.56
07/29/2005,6551,"CHECK",1331,,14224.89
07/28/2005,6552,"CHECK",91,,15767.56
07/29/2005,6553,"CHECK",49.65,,15650.91
07/29/2005,6554,"CHECK",95.02,,15555.89
08/02/2005,6555,"CHECK",31.9,,14192.99
08/04/2005,6557,"CHECK",48.76,,14144.23
08/10/2005,6558,"CHECK",850,,13088.26
08/17/2005,6559,"CHECK",480,,13482.27
08/10/2005,6560,"CHECK",280,,14788.26
08/15/2005,6561,"CHECK",25,,15897.6
08/16/2005,6562,"CHECK",161.66,,14970.94
08/12/2005,6563,"CHECK",45.54,,16243.6
08/17/2005,6564,"CHECK",470,,13962.27
08/18/2005,6566,"CHECK",12,,13471.45
08/16/2005,6567,"CHECK",36,,15132.6
08/17/2005,6568,"CHECK",127,,14432.27
08/18/2005,6569,"CHECK",62,,13409.45
08/17/2005,6573,"CHECK",75,,14559.27
08/17/2005,6574,"CHECK",136.67,,14634.27
08/08/2005,,"DEPOSIT",,400.33,14484.56
08/08/2005,,"DEPOSIT",,1168.75,15653.31
08/08/2005,,"POTOMAC RUN 2",100,,15553.31
07/29/2005,,"INSTITUTION_NAM",40,,15725.56
07/28/2005,,"ITT ADVANCED ENGPAYROLL",,3325.96,15858.56
07/25/2005,6549,"PARTY CITY OF STEFT",37.1,,13258.6
07/29/2005,,"OTHER ATM NETWORK FEE",2,,15765.56
08/18/2005,,"INTEREST PAYMENT",,1.18,13483.45
08/12/2005,,"COUNTRYSIDE",60,,16289.14
08/15/2005,,"CARLENE D MARCUS",351,,15922.6
08/10/2005,,"PROGRESSIVE INS.INS PREM",446.05,,15068.26
08/11/2005,,"ITT ADVANCED ENGPAYROLL",,3260.88,16349.14
08/15/2005,,"DEPOSIT",,30,16273.6
08/16/2005,,"OTHER ATM NETWORK FEE",2,,15895.6
08/16/2005,,"INSTITUTION_NAM",20,,15168.6
08/08/2005,,"CHECK",39,,15514.31
08/16/2005,6570,"DOM VA NC POWER BILLPYMT",156,,15739.6
08/16/2005,6572,"AMERICAN EXPRESSCHECK PYMT",551,,15188.6
,,,,,
"	",,,,,
