03/25/2005,6383,"CHECK",182,,13045.06
03/25/2005,6398,"CHECK",20,,13267.06
03/23/2005,6407,"CHECK",21,,10317.66
04/18/2005,6409,"CHECK",10,,13151.85
03/30/2005,6414,"CHECK",40,,12852.76
04/07/2005,6417,"CHECK",850,,14653.07
03/21/2005,6418,"CHECK",65,,12309.63
03/21/2005,6421,"CHECK",1275,,11034.63
03/22/2005,6427,"CHECK",167,,10788.66
03/22/2005,6428,"CHECK",450,,10338.66
03/22/2005,6429,"CHECK",28.97,,10955.66
03/21/2005,6430,"CHECK",50,,10984.63
03/25/2005,6431,"CHECK",40,,13227.06
03/25/2005,6432,"WATSON SALSBURY EFT",25,,13287.06
03/30/2005,6433,"CHECK",35,,12817.76
03/28/2005,6434,"CHECK",38.62,,12932.76
03/28/2005,6435,"CHECK",33.68,,12971.38
03/31/2005,6436,"CHECK",62.16,,12305.6
04/07/2005,6437,"CHECK",850,,13803.07
04/01/2005,6438,"CHECK",70,,11740.6
03/31/2005,6439,"CHECK",495,,11810.6
04/04/2005,6440,"CHECK",66,,11614.6
03/30/2005,6441,"CHECK",450,,12367.76
04/04/2005,6442,"CHECK",20,,11594.6
04/06/2005,6443,"CHECK",10,,12246.53
04/13/2005,6444,"CHECK",200,,13441.75
04/04/2005,6445,"CHECK",62.06,,11532.54
04/05/2005,6446,"CHECK",56.01,,11451.53
04/05/2005,6448,"WATSON SALSBURY EFT",25,,11507.54
04/15/2005,6451,"CHECK",11.9,,13271.85
04/13/2005,6452,"DOM VA NC POWER BILLPYMT",107,,13812.75
04/13/2005,6453,"CHECK",171,,13641.75
04/14/2005,6454,"CHECK",158,,13283.75
04/18/2005,6455,"CHECK",59,,13092.85
04/15/2005,6457,"CHECK",50,,13221.85
04/20/2005,6458,"CHECK",200,,12853.99
"Date","Check Number","Description","Debit","Credit","Running Balance"
03/24/2005,,"ITT ADVANCED ENGPAYROLL",,2994.4,13312.06
04/12/2005,,"PROGRESSIVE INS.INS PREM",99.76,,13919.75
04/06/2005,,"DEPOSIT",,805,12256.53
04/06/2005,,"CHECK",39,,12207.53
03/21/2005,,"COUNTRYSIDE",40,,12374.63
03/30/2005,,"SFWY 1084 PIDGEON HILL",40,,12892.76
04/04/2005,,"COUNTRYSIDE",60,,11680.6
04/12/2005,,"DEPOSIT",,356.44,14019.51
04/20/2005,,"INTEREST PAYMENT",,1.14,13093.99
03/28/2005,,"SFWY 1084 PIDGEON HILL",40,,13005.06
04/18/2005,,"COUNTRYSIDE",60,,13161.85
04/11/2005,,"POTOMAC RUN 1",140,,13663.07
04/07/2005,,"ITT ADVANCED ENGPAYROLL",,3295.54,15503.07
04/20/2005,,"SFWY 1084 PIDGEON HILL",40,,13053.99
