06/09/2005,6449,"CHECK",100,,18521.89
06/06/2005,6477,"CHECK",36,,18706.41
05/25/2005,6480,"CHECK",450,,19141.52
06/13/2005,6482,"CHECK",850,,17500.09
06/07/2005,6488,"CHECK",11,,18689.82
05/25/2005,6489,"CHECK",460,,18681.52
05/26/2005,6491,"CHECK",2447,,16234.52
06/13/2005,6492,"CHECK",850,,16650.09
05/24/2005,6493,"CHECK",93,,19591.52
05/24/2005,6494,"CHECK",68,,19684.52
05/31/2005,6495,"CHECK",99.36,,16135.16
06/01/2005,6496,"CHECK",45.02,,16060
06/01/2005,6497,"CHECK",405,,15655
06/01/2005,6498,"CHECK",30.14,,16105.02
06/02/2005,6499,"CHECK",55.43,,18699.91
06/14/2005,6500,"CHECK",122.64,,16366.45
06/09/2005,6501,"WATSON SALSBURY EFT",25,,18621.89
06/13/2005,6506,"CHECK",72.04,,18350.09
06/16/2005,6508,"CHECK",440,,18711.81
06/20/2005,6509,"CHECK",62,,18626.39
06/14/2005,6511,"DOM VA NC POWER BILLPYMT",103,,16547.09
06/15/2005,6512,"CHECK",36,,16330.45
06/14/2005,6513,"CHECK",58,,16489.09
06/16/2005,6515,"CHECK",11.42,,19151.81
06/16/2005,6516,"CHECK",10,,19314.85
06/16/2005,6517,"CHECK",151.62,,19163.23
06/17/2005,6519,"WATSON SALSBURY EFT",25,,18686.81
"Date","Check Number","Description","Debit","Credit","Running Balance"
06/06/2005,,"DEPOSIT",,106.5,18742.41
06/08/2005,,"CHECK",39,,18646.89
06/03/2005,,"OTHER ATM NETWORK FEE",2,,18697.91
06/03/2005,,"ATM EXPRESS",62,,18635.91
06/02/2005,,"ITT ADVANCED ENGPAYROLL",,3100.34,18755.34
05/23/2005,,"DEPOSIT",,200,19752.52
06/20/2005,,"INTEREST PAYMENT",,1.58,18688.39
06/16/2005,,"ITT ADVANCED ENGPAYROLL",,2994.4,19324.85
06/10/2005,,"PROGRESSIVE INS.INS PREM",99.76,,18422.13
06/07/2005,,"CLAYTOR LAKE ST",5.59,,18700.82
06/08/2005,,"AMOCO OIL     06",3.93,,18685.89
