"Date","Check Number","Description","Debit","Credit","Running Balance"
07/01/2004,6200,"CHECK",48,,
08/07/2004,6202,"CHECK",126,,
08/07/2004,6203,"CHECK",70.95,,
08/07/2004,6201,"CHECK",200,,
08/10/2004,6204,"CHECK",25,,
08/12/2004,6206,"CHECK",61,,
08/12/2004,6207,"CHECK",39,,
08/12/2004,6205,"CHECK",17,,
08/14/2004,6208,"CHECK",300,,
08/14/2004,6209,"CHECK",850,,
08/28/2004,6210,"CHECK",72.51,,
08/28/2004,6211,"VOID CHECK",0,,
08/30/2004,6220,"CHECK",200,,
08/30/2004,6219,"CHECK",237,,
08/31/2004,6213,"CHECK",850,,
08/31/2004,6216,"CHECK",3301,,
08/31/2004,6212,"CHECK",300,,
08/31/2004,6215,"CHECK",150,,
08/31/2004,6217,"AMERICA EXPRESS",2460,,
08/31/2004,6218,"CHECK",108,,
08/31/2004,6214,"CAPITAL ONE",400,,
08/31/2004,6221,"CHECK",22.5,,
09/01/2004,6222,"CHECK",35.22,,
09/06/2004,6223,"CHECK",8,,
09/07/2004,6224,"CHECK",30,,
09/08/2004,6225,"CHECK",30.22,,
09/08/2004,6226,"CHECK",14.52,,
09/11/2004,6227,"CHECK",900,,
09/12/2004,6230,"CHECK",60,,
09/12/2004,6229,"CHECK",850,,
09/12/2004,6231,"CHECK",12,,
09/12/2004,6228,"CHECK",300,,
09/12/2004,6232,"CHECK",27,,
09/12/2004,6233,"CHECK",50,,
09/13/2004,6236,"CHECK",47.83,,
09/13/2004,6234,"CHECK",95,,
09/14/2004,6237,"CHECK",100,,
09/14/2004,6238,"CHECK",21.43,,
09/15/2004,6239,"CHECK",15,,
09/17/2004,6240,"CHECK",17.5,,
09/20/2004,6242,"CHECK",25.65,,
09/20/2004,6243,"CHECK",26.21,,
09/21/2004,6251,"CHECK",266,,
09/21/2004,6244,"CHECK",200,,
09/21/2004,6245,"CHECK",40,,
09/21/2004,6248,"CHECK",31.5,,
09/21/2004,6250,"CHECK",58.32,,
09/21/2004,6246,"CHECK",5.86,,
09/22/2004,6254,"CHECK",20,,
09/22/2004,6253,"CHECK",59.47,,
09/23/2004,6258,"CHECK",47.23,,
09/23/2004,6257,"CHECK",45,,
09/26/2004,6263,"CHECK",3328,,
09/26/2004,6262,"CHECK",70,,
09/26/2004,6260,"CHECK",850,,
09/26/2004,6259,"CHECK",300,,
09/26/2004,6261,"CHECK",25,,
09/26/2004,6264,"CHECK",43,,
09/27/2004,6249,"AMERICA EXPRESS",1724,,
09/27/2004,6265,"CHECK",59.75,,
09/28/2004,6266,"CHECK",60,,
09/30/2004,6267,"CHECK",25,,
10/03/2004,6268,"CHECK",100,,
10/04/2004,6271,"CHECK",200,,
10/04/2004,6270,"CHECK",35,,
10/04/2004,6269,"CHECK",109,,
10/07/2004,6274,"CHECK",138,,
10/07/2004,6275,"CHECK",12,,
10/07/2004,6277,"CHECK",300,,
10/08/2004,6279,"CHECK",16.24,,
10/08/2004,6278,"CHECK",45,,
10/14/2004,6280,"CHECK",250,,
10/19/2004,6282,"CHECK",200,,
10/23/2004,6284,"VOID CHECK",0,,
"99/99/2004",6273,"VAN VISA",654,,
"99/99/2004",6294,"VOID CHECK",0,,
"99/99/2004",6302,"VOID CHECK",0,,
"99/99/2004",6351,"VOID CHECK",0,,
"99/99/2005",6481,"VOID CHECK",0,,
04/25/2005,6468,"CHECK",56.72,,
"99/99/2005",6514,"VOID CHECK",0,,
"99/99/2005",6490,"VOID CHECK",0,,
"99/99/2005",6501,"????",0,,
