Date,Check Number,Description,Debit,Credit,Running Balance

05/20/2008,,WALGREEN COMPANY 1380,$61.34,,$13728.51
05/20/2008,,WALGREEN COMPANY 1380,$88.10,,$13640.41
05/22/2008,0007487,CHECK,$40.00,,$13600.41
05/22/2008,0007500,CHECK,$2120.00,,$11480.41
05/23/2008,,DVDPLAY 00200083,$1.59,,$11478.82
05/27/2008,,NON SUNTRUST ATM FEE,$2.00,,$11476.82
05/27/2008,,KEYBANK NA,$63.00,,$11413.82
05/27/2008,,DVDPLAY 00200083,$2.11,,$11411.71
05/28/2008,,DEPOSIT,,$283.00,$11694.71
05/28/2008,,STATE FARM RO 27SFPP,$177.89,,$11516.82
05/30/2008,,FIDELITY EMP SVCZETA,,$8758.25,$20275.07
06/02/2008,0007503,CHASE           CHECK PYMT,$50.00,,$20225.07
06/02/2008,0007502,VZ WIRELESS ARC ARC,$98.00,,$20127.07
06/02/2008,0007501,CHECK,$78.00,,$20049.07
06/06/2008,0007486,CHECK,$40.00,,$20009.07
06/06/2008,0007506,CHECK,$2000.00,,$18009.07
06/09/2008,,FAIR OAKS,$60.00,,$17949.07
06/10/2008,0007510,DOM VA NC POWER BILLPYMT,$97.00,,$17852.07
06/10/2008,0007511,CHECK,$99.40,,$17752.67
06/10/2008,0007508,CHECK,$200.00,,$17552.67
06/10/2008,0007505,CHECK,$300.00,,$17252.67
06/10/2008,0007507,CHECK,$460.00,,$16792.67
06/10/2008,0007509,CHECK,$1200.00,,$15592.67
06/12/2008,,DEPOSIT,,$13536.05,$29128.72
06/12/2008,,CHASE           EPAY,$12000.00,,$17128.72
06/12/2008,0007514,CHECK,$300.00,,$16828.72
06/13/2008,,HARRIS TEETER #100,$137.00,,$16691.72
06/13/2008,0007498,CHECK,$20.00,,$16671.72
06/16/2008,0007512,Wash Gas UtilityCHECK PYMT,$71.00,,$16600.72
06/16/2008,,SOUTH LAKES,$200.00,,$16400.72
06/16/2008,0007513,CHECK,$62.00,,$16338.72
06/17/2008,,CHASE           EPAY,$4100.00,,$12238.72
06/17/2008,,POTOMAC RUN #2,$340.00,,$11898.72
06/18/2008,,INTEREST PAYMENT,,$1.24,$11899.96
06/18/2008,0007517,CHECK,$204.20,,$11695.76
06/18/2008,0007516,CHECK,$1397.00,,$10298.76
