Date,Check Number,Description,Debit,Credit,Running Balance

02/21/2008,,REDBOX DVD 046-0,$3.15,,$7336.78
02/25/2008,0007439,CHASE           CHECK PYMT,$50.00,,$7286.78
02/25/2008,0007440,VZ WIRELESS ARC ARC,$128.00,,$7158.78
02/25/2008,0007437,CHECK,$1595.00,,$5563.78
02/26/2008,,STATE FARM RO 27SFPP,$177.89,,$5385.89
02/26/2008,0007438,Wash Gas UtilityCHECK PYMT,$240.00,,$5145.89
02/26/2008,0007381,CHECK,$22.50,,$5123.39
02/26/2008,0007436,CHECK,$150.00,,$4973.39
02/26/2008,0007428,CHECK,$298.00,,$4675.39
02/28/2008,,VA DEPT TAXATIONDD REFUND,,$708.00,$5383.39
02/29/2008,,FIDELITY EMP SVCZETA,,$8435.56,$13818.95
02/29/2008,,TARGET T1009 STERLING,$75.64,,$13743.31
02/29/2008,0007441,CHECK,$24.00,,$13719.31
03/04/2008,,POTOMAC RUN #1,$320.00,,$13399.31
03/04/2008,,TARGET T1009 STERLING,$130.33,,$13268.98
03/05/2008,0007449,CHECK,$2000.00,,$11268.98
03/07/2008,0007451,CHECK,$500.00,,$10768.98
03/10/2008,0007454,DOM VA NC POWER BILLPYMT,$123.00,,$10645.98
03/10/2008,0007453,CHASE           CHECK PYMT,$1683.00,,$8962.98
03/10/2008,0007442,CHECK,$80.00,,$8882.98
03/10/2008,0007456,CHECK,$300.00,,$8582.98
03/11/2008,0007455,CHECK,$10.00,,$8572.98
03/11/2008,0007448,CHECK,$20.00,,$8552.98
03/12/2008,0007445,CHECK,$115.00,,$8437.98
03/12/2008,0007444,CHECK,$500.00,,$7937.98
03/12/2008,0007457,CHECK,$1140.00,,$6797.98
03/13/2008,0007447,CHECK,$86.75,,$6711.23
03/14/2008,,US TREASURY 220 TAX REFUND,,$5675.00,$12386.23
03/17/2008,,NON SUNTRUST ATM FEE,$2.00,,$12384.23
03/17/2008,,POTOMAC RUN #2,$100.00,,$12284.23
03/17/2008,,SUPER FRESH-929,$202.00,,$12082.23
03/17/2008,0007452,CHECK,$199.50,,$11882.73
03/18/2008,0007443,CHECK,$12.50,,$11870.23
03/19/2008,,INTEREST PAYMENT,,$0.75,$11870.98
