Date,Check Number,Description,Debit,Credit,Running Balance

08/22/2006,0007002,CHECK,$58.92,,$8169.42
08/23/2006,0007004,CHECK,$353.06,,$7816.36
08/23/2006,0006992,CHECK,$450.00,,$7366.36
08/24/2006,,ITT ADVANCED ENGPAYROLL,,$3162.46,$10528.82
08/24/2006,,DEPOSITED ITEM RETURNED,$198.00,,$10330.82
08/24/2006,,DEPOSITED ITEM RETURNED FEE,$6.50,,$10324.32
08/24/2006,0006933,CHECK,$80.00,,$10244.32
08/24/2006,0007001,CHECK,$100.00,,$10144.32
08/25/2006,0007005,CHECK,$41.34,,$10102.98
08/28/2006,,STATE FARM RO 27SFPP,$342.06,,$9760.92
08/28/2006,,WORLDGATE CENTER,$60.00,,$9700.92
08/29/2006,,WORLDGATE CENTER,$40.00,,$9660.92
08/29/2006,0007009,CHECK,$62.74,,$9598.18
08/29/2006,0007015,CHECK,$85.00,,$9513.18
08/29/2006,0007008,CHECK,$35.84,,$9477.34
08/29/2006,0007006,CHECK,$39.00,,$9438.34
08/29/2006,0006985,CHECK,$198.00,,$9240.34
08/30/2006,,SHOPPERS FOOD/PHARM 26,$31.24,,$9209.10
08/30/2006,0007007,CHECK,$240.00,,$8969.10
08/31/2006,0007014,CHASE           CHECK PYMT,$803.00,,$8166.10
08/31/2006,0007011,CHECK,$31.51,,$8134.59
09/05/2006,0007018,CHECK,$44.37,,$8090.22
09/06/2006,0007010,CHECK,$20.00,,$8070.22
09/07/2006,,ITT ADVANCED ENGPAYROLL,,$3303.04,$11373.26
09/07/2006,0007019,CHECK,$48.83,,$11324.43
09/11/2006,,POTOMAC RUN 2,$40.00,,$11284.43
09/11/2006,0007021,CHECK,$58.62,,$11225.81
09/12/2006,0007022,CHECK,$134.23,,$11091.58
09/13/2006,0007020,CHECK,$13.28,,$11078.30
09/13/2006,0007032,CHECK,$100.00,,$10978.30
09/14/2006,0007027,WASH GAS UTILITYCHECKPAYMT,$28.00,,$10950.30
09/14/2006,0007028,DOM VA NC POWER BILLPYMT,$134.00,,$10816.30
09/14/2006,0007024,CHECK,$270.00,,$10546.30
09/15/2006,0007026,CHECK,$64.00,,$10482.30
09/15/2006,0007030,CHECK,$1047.00,,$9435.30
09/18/2006,0007036,CHECK,$19.99,,$9415.31
09/18/2006,0006993,CHECK,$850.00,,$8565.31
09/18/2006,0007013,CHECK,$850.00,,$7715.31
09/19/2006,,DEPOSIT,,$219.26,$7934.57
09/19/2006,0007038,CHECK,$105.87,,$7828.70
09/20/2006,,INTEREST PAYMENT,,$0.77,$7829.47
09/20/2006,,WORLDGATE CENTER,$40.00,,$7789.47
09/20/2006,0007029,CHECK,$15.00,,$7774.47
09/20/2006,0007012,CHECK,$450.00,,$7324.47
09/20/2006,0007025,CHECK,$480.00,,$6844.47
