Date,Check Number,Description,Debit,Credit,Running Balance

04/21/2008,0007475,Wash Gas UtilityCHECK PYMT,$373.00,,$10887.22
04/21/2008,,PLAZA AMERICA #1,$60.00,,$10827.22
04/23/2008,0007450,CHECK,$190.00,,$10637.22
04/24/2008,0007477,CHECK,$400.00,,$10237.22
04/25/2008,0007479,WATSONSALSBURYHEPURCHASE,$10.00,,$10227.22
04/28/2008,,STATE FARM RO 27SFPP,$177.89,,$10049.33
04/28/2008,,PAYLESS SHOESOURCE,$38.30,,$10011.03
04/28/2008,,SAFEWAY  STORE  1417,$77.21,,$9933.82
04/28/2008,,SOU USPS 5165430342562,$258.15,,$9675.67
04/29/2008,0007481,CHECK,$100.00,,$9575.67
04/29/2008,0007478,CHECK,$140.00,,$9435.67
04/30/2008,,FIDELITY EMP SVCZETA,,$8758.26,$18193.93
05/01/2008,0007483,CHASE           CHECK PYMT,$50.00,,$18143.93
05/01/2008,0007484,VZ WIRELESS ARC ARC,$120.00,,$18023.93
05/01/2008,0007485,CHASE           CHECK PYMT,$2010.00,,$16013.93
05/01/2008,0007472,CHECK,$100.00,,$15913.93
05/06/2008,,TRADER JOE'S # 646 446,$175.29,,$15738.64
05/06/2008,0007489,CHECK,$1200.00,,$14538.64
05/08/2008,0007490,CHECK,$300.00,,$14238.64
05/08/2008,0007488,CHECK,$2000.00,,$12238.64
05/09/2008,,US TREASURY 220 TAX REFUND,,$2400.00,$14638.64
05/09/2008,0007492,DOM VA NC POWER BILLPYMT,$114.00,,$14524.64
05/09/2008,0007496,CHECK,$130.00,,$14394.64
05/09/2008,0007493,CHECK,$186.00,,$14208.64
05/12/2008,,7-ELEVEN 25633,$4.79,,$14203.85
05/13/2008,,DEPOSIT,,$427.00,$14630.85
05/13/2008,0007494,Wash Gas UtilityCHECK PYMT,$108.00,,$14522.85
05/13/2008,0007495,CHECK,$67.00,,$14455.85
05/14/2008,0007480,CHECK,$5.00,,$14450.85
05/14/2008,0007497,CHECK,$20.00,,$14430.85
05/15/2008,0007491,CHECK,$10.00,,$14420.85
05/19/2008,,INTEREST PAYMENT,,$1.12,$14421.97
05/19/2008,,POTOMAC RUN #1,$500.00,,$13921.97
05/19/2008,,SHOPPERS FOOD/PHARM 26,$103.26,,$13818.71
05/19/2008,0007499,CHECK,$28.86,,$13789.85
