Date,Check Number,Description,Debit,Credit,Running Balance

03/22/2006,0006778,CHECK,$850.00,,$8577.82
03/22/2006,0006793,CHECK,$850.00,,$7727.82
03/23/2006,,ITT ADVANCED ENGPAYROLL,,$4299.23,$12027.05
03/23/2006,0006823,AMERICAN EXPRESSCHECK PYMT,$1875.00,,$10152.05
03/23/2006,0006826,CHECK,$54.45,,$10097.60
03/23/2006,0006807,CHECK,$80.00,,$10017.60
03/23/2006,0006825,CHECK,$407.90,,$9609.70
03/24/2006,,POTOMAC RUN 2,$40.00,,$9569.70
03/24/2006,0006824,CHECK,$15.00,,$9554.70
03/27/2006,,OTHER ATM NETWORK FEE,$2.00,,$9552.70
03/27/2006,0006829,OLD NAVY OUTLET PURCHASE,$56.65,,$9496.05
03/27/2006,,WEGMANS,$101.00,,$9395.05
03/28/2006,,STATE FARM RO 27SFPP,$460.77,,$8934.28
03/28/2006,0006838,CHECK,$81.86,,$8852.42
03/28/2006,0006791,CHECK,$15.00,,$8837.42
03/28/2006,0006827,CHECK,$66.10,,$8771.32
03/28/2006,0006828,CHECK,$95.93,,$8675.39
03/29/2006,0006831,CHECK,$604.00,,$8071.39
04/03/2006,0006841,CHECK,$23.95,,$8047.44
04/03/2006,0006832,CHECK,$72.99,,$7974.45
04/03/2006,0006833,CHECK,$143.00,,$7831.45
04/03/2006,0006839,CHECK,$201.93,,$7629.52
04/04/2006,,COUNTRYSIDE,$40.00,,$7589.52
04/04/2006,0006846,CHECK,$18.33,,$7571.19
04/04/2006,0006842,CHECK,$55.23,,$7515.96
04/05/2006,0006845,CHECK,$16.36,,$7499.60
04/05/2006,0006811,CHECK,$29.00,,$7470.60
04/05/2006,0006847,CHECK,$405.00,,$7065.60
04/06/2006,,ITT ADVANCED ENGPAYROLL,,$3493.44,$10559.04
04/06/2006,0006848,CHECK,$84.61,,$10474.43
04/06/2006,0006816,CHECK,$850.00,,$9624.43
04/06/2006,0006830,CHECK,$850.00,,$8774.43
04/07/2006,,POTOMAC RUN 2,$40.00,,$8734.43
04/10/2006,,POTOMAC RUN 2,$100.00,,$8634.43
04/10/2006,0006837,CHECK,$15.00,,$8619.43
04/10/2006,0006840,CHECK,$100.00,,$8519.43
04/11/2006,0006858,DOM VA NC POWER BILLPYMT,$91.00,,$8428.43
04/11/2006,0006854,CHECK,$8.00,,$8420.43
04/11/2006,0006855,CHECK,$8.00,,$8412.43
04/11/2006,0006844,CHECK,$12.00,,$8400.43
04/11/2006,0006856,CHECK,$16.00,,$8384.43
04/11/2006,0006852,CHECK,$60.00,,$8324.43
04/11/2006,0006857,CHECK,$280.00,,$8044.43
04/12/2006,0006860,CHECK,$15.00,,$8029.43
04/12/2006,0006863,CHECK,$26.00,,$8003.43
04/12/2006,0006851,CHECK,$625.00,,$7378.43
04/13/2006,0006849,CHECK,$15.00,,$7363.43
04/13/2006,0006836,CHECK,$15.00,,$7348.43
04/13/2006,0006835,CHECK,$90.00,,$7258.43
04/14/2006,0006800,CHECK,$40.00,,$7218.43
04/17/2006,,DEPOSIT,,$489.00,$7707.43
04/17/2006,0006865,CHECK,$62.43,,$7645.00
04/18/2006,0006859,CHECK,$20.00,,$7625.00
04/19/2006,0006850,CHECK,$300.00,,$7325.00
04/20/2006,,ITT ADVANCED ENGPAYROLL,,$3212.32,$10537.32
04/20/2006,0006853,CHECK,$80.00,,$10457.32
04/20/2006,0006866,CHECK,$176.35,,$10280.97
04/20/2006,0006862,CHECK,$520.00,,$9760.97
04/21/2006,,INTEREST PAYMENT,,$0.70,$9761.67
04/21/2006,,POTOMAC RUN 2,$60.00,,$9701.67
04/21/2006,0006867,CHECK,$370.00,,$9331.67
