03/09/2006,6802,"CHECK",25,,9023.94,1
03/08/2006,6803,"CHECK",89.01,,6948.92,1
03/09/2006,6804,"CHECK",31.5,,8992.44,1
"99/99/9999",6805,"VOID CHECK",0,,-284.56,1
03/15/2006,6806,"CHECK",80,,9266.54,1
03/23/2006,6807,"CHECK",80,,10017.6,1
03/13/2006,6808,"CHECK",25,,8803.95,1
03/10/2006,6809,"CHECK",37.49,,8954.95,1
03/20/2006,6810,"CHECK",187.95,,9812.01,1
04/05/2006,6811,"CHECK",29,,7470.6,1
03/15/2006,6812,"CHECK",100,,9166.54,1
03/14/2006,6813,"CHECK",83.41,,9346.54,1
03/16/2006,6814,"CHECK",30.98,,10024.1,1
03/15/2006,6815,"CHECK",135,,9031.54,1
04/06/2006,6816,"CHECK",850,,9624.43,1
03/21/2006,6817,"WASH GAS UTILITYCHECKPAYMT",233,,9579.73,1
03/21/2006,6818,"CHECK",64,,9427.82,1
"99/99/9999",6819,"VOID CHECK",0,,-284.56,1
03/20/2006,6819,"OLD NAVY #5530  PURCHASE",24.14,,9999.96,0
03/21/2006,6820,"CHECK",41.31,,9491.82,1
03/21/2006,6821,"CHECK",4.55,,9555.18,1
03/21/2006,6822,"CHECK",22.05,,9533.13,1
03/23/2006,6823,"AMERICAN EXPRESSCHECK PYMT",1875,,10152.05,1
03/24/2006,6824,"CHECK",15,,9554.7,1
03/23/2006,6825,"CHECK",407.9,,9609.7,1
03/23/2006,6826,"CHECK",54.45,,10097.6,1
03/28/2006,6827,"CHECK",66.1,,8771.32,1
03/28/2006,6828,"CHECK",95.93,,8675.39,1
03/27/2006,6829,"OLD NAVY OUTLET PURCHASE",56.65,,9496.05,1
"99/99/9999",6829,"VOID CHECK",0,,-284.56,0
04/06/2006,6830,"CHECK",850,,8774.43,1
03/29/2006,6831,"CHECK",604,,8071.39,1
04/03/2006,6832,"CHECK",72.99,,7974.45,1
04/03/2006,6833,"CHECK",143,,7831.45,1
"99/99/9999",6834,"VOID CHECK",0,,-284.56,1
04/13/2006,6835,"CHECK",90,,7258.43,1
04/13/2006,6836,"CHECK",15,,7348.43,1
04/10/2006,6837,"CHECK",15,,8619.43,1
03/28/2006,6838,"CHECK",81.86,,8852.42,1
04/03/2006,6839,"CHECK",201.93,,7629.52,1
04/10/2006,6840,"CHECK",100,,8519.43,1
04/03/2006,6841,"CHECK",23.95,,8047.44,1
04/04/2006,6842,"CHECK",55.23,,7515.96,1
05/10/2006,6843,"CHECK",147,,10256.25,1
04/11/2006,6844,"CHECK",12,,8400.43,1
04/05/2006,6845,"CHECK",16.36,,7499.6,1
04/04/2006,6846,"CHECK",18.33,,7571.19,1
04/05/2006,6847,"CHECK",405,,7065.6,1
04/06/2006,6848,"CHECK",84.61,,10474.43,1
04/13/2006,6849,"CHECK",15,,7363.43,1
04/19/2006,6850,"CHECK",300,,7325,1
04/12/2006,6851,"CHECK",625,,7378.43,1
04/11/2006,6852,"CHECK",60,,8324.43,1
04/20/2006,6853,"CHECK",80,,10457.32,1
04/11/2006,6854,"CHECK",8,,8420.43,1
04/11/2006,6855,"CHECK",8,,8412.43,1
04/11/2006,6856,"CHECK",16,,8384.43,1
04/11/2006,6857,"CHECK",280,,8044.43,1
04/11/2006,6858,"DOM VA NC POWER BILLPYMT",91,,8428.43,1
04/18/2006,6859,"CHECK",20,,7625,1
04/12/2006,6860,"CHECK",15,,8029.43,1
05/03/2006,6861,"CHECK",850,,8395.77,1
04/20/2006,6862,"CHECK",520,,9760.97,1
04/12/2006,6863,"CHECK",26,,8003.43,1
06/22/2006,6864,"CHECK",50,,11708.88,1
04/17/2006,6865,"CHECK",62.43,,7645,1
04/20/2006,6866,"CHECK",176.35,,10280.97,1
