Date,Check Number,Description,Debit,Credit,Running Balance

01/23/2008,,DEPOSIT,,$61.00,$6802.78
01/23/2008,,POTOMAC RUN #1,$160.00,,$6642.78
01/23/2008,0007421,CHECK,$30.00,,$6612.78
01/24/2008,0007424,CHASE           CHECK PYMT,$50.00,,$6562.78
01/24/2008,0007422,CHECK,$1476.00,,$5086.78
01/25/2008,0007423,VZ WIRELESS ARC ARC,$107.00,,$4979.78
01/25/2008,,TARGET T1009 STERLING,$54.85,,$4924.93
01/28/2008,,STATE FARM RO 27SFPP,$177.89,,$4747.04
01/28/2008,,TARGET        00,$32.55,,$4714.49
01/30/2008,,WAL-MART #2038,$47.37,,$4667.12
01/31/2008,,FIDELITY EMP SVCZETA,,$9100.84,$13767.96
02/01/2008,,PLAZA AMERICA #1,$500.00,,$13267.96
02/05/2008,,FAIR OAKS,$200.00,,$13067.96
02/06/2008,0007427,CHECK,$185.00,,$12882.96
02/07/2008,0007425,CHECK,$500.00,,$12382.96
02/11/2008,,HUNTERS WOODS SFWY #1,$20.00,,$12362.96
02/11/2008,0007434,CHECK,$175.00,,$12187.96
02/11/2008,0007431,CHECK,$300.00,,$11887.96
02/11/2008,0007430,CHECK,$2000.00,,$9887.96
02/12/2008,,DEPOSIT,,$400.00,$10287.96
02/12/2008,0007432,DOM VA NC POWER BILLPYMT,$113.00,,$10174.96
02/12/2008,,CHASE           EPAY,$1357.71,,$8817.25
02/12/2008,0007426,CHECK,$50.00,,$8767.25
02/13/2008,0007433,CHECK,$15.00,,$8752.25
02/14/2008,0007435,CHECK,$64.00,,$8688.25
02/15/2008,,SOU GIANT FOOD INC 731,$43.23,,$8645.02
02/15/2008,0007429,CHECK,$1250.00,,$7395.02
02/19/2008,,TARGET T1009 STERLING,$55.88,,$7339.14
02/20/2008,,INTEREST PAYMENT,,$0.79,$7339.93
