Date,Check Number,Description,Debit,Credit,Running Balance

05/21/2007,0007226,CHECK,$50.00,,$9821.59
05/22/2007,0007248,CHECK,$75.00,,$9746.59
05/22/2007,0007241,CHECK,$80.00,,$9666.59
05/22/2007,0007246,CHECK,$95.24,,$9571.35
05/23/2007,0007249,CHECK,$130.00,,$9441.35
05/24/2007,,SAFEWAY #1084,$100.00,,$9341.35
05/29/2007,,STATE FARM RO 27SFPP,$295.46,,$9045.89
05/31/2007,,FIDELITY EMP SVCZETA,,$8723.68,$17769.57
06/04/2007,0007244,CHECK,$700.00,,$17069.57
06/06/2007,,FAIR OAKS,$20.00,,$17049.57
06/07/2007,0007255,CHECK,$40.00,,$17009.57
06/08/2007,0007254,DOM VA NC POWER BILLPYMT,$101.00,,$16908.57
06/08/2007,0007257,VZ WIRELESS ARC ARC,$101.00,,$16807.57
06/08/2007,0007259,CHECK,$525.00,,$16282.57
06/11/2007,0007252,CHASE           CHECK PYMT,$50.00,,$16232.57
06/11/2007,0007258,CHASE           CHECK PYMT,$1473.00,,$14759.57
06/11/2007,0007256,CHECK,$40.00,,$14719.57
06/12/2007,0007264,CHECK,$25.00,,$14694.57
06/13/2007,0007261,CHECK,$20.00,,$14674.57
06/13/2007,0007260,CHECK,$38.40,,$14636.17
06/15/2007,0007265,CHECK,$251.00,,$14385.17
06/18/2007,,HERNDON SAFEWAY,$200.00,,$14185.17
06/18/2007,0007263,CHECK,$75.00,,$14110.17
06/18/2007,0007262,CHECK,$100.00,,$14010.17
06/18/2007,0007251,CHECK,$1190.00,,$12820.17
06/20/2007,,INTEREST PAYMENT,,$1.20,$12821.37
06/20/2007,0007271,CHECK,$14.38,,$12806.99
06/20/2007,0007270,CHECK,$80.00,,$12726.99
06/20/2007,0007277,CHECK,$98.00,,$12628.99
06/20/2007,0007272,CHECK,$310.00,,$12318.99
