Date,Check Number,Description,Debit,Credit,Running Balance

07/20/2007,,SHOPPERS FOOD /,$20.00,,$8143.15
07/20/2007,0007301,CHECK,$14.00,,$8129.15
07/23/2007,0007305,WAL-MART STORES PURCHASE,$25.00,,$8104.15
07/23/2007,0007302,Wash Gas UtilityCHECK PYMT,$45.00,,$8059.15
07/23/2007,,COUNTRYSIDE,$40.00,,$8019.15
07/23/2007,,ECKERD CORPORATI 46965,$70.00,,$7949.15
07/24/2007,,DIRECT CHECKS   CK ORDER,$27.20,,$7921.95
07/25/2007,,ECKERD CORPORATI 46965,$62.51,,$7859.44
07/25/2007,0007310,CHECK,$69.00,,$7790.44
07/25/2007,0007304,CHECK,$90.00,,$7700.44
07/25/2007,0007220,CHECK,$235.00,,$7465.44
07/26/2007,,STATE FARM RO 27SFPP,$265.44,,$7200.00
07/30/2007,,COUNTRYSIDE,$60.00,,$7140.00
07/31/2007,,FIDELITY EMP SVCZETA,,$8406.08,$15546.08
08/03/2007,0007306,CHASE           CHECK PYMT,$94.00,,$15452.08
08/03/2007,0007308,VZ WIRELESS ARC ARC,$98.00,,$15354.08
08/03/2007,0007307,CHASE           CHECK PYMT,$3537.00,,$11817.08
08/06/2007,,POTOMAC RUN #1,$300.00,,$11517.08
08/06/2007,,MEIJER INC 126 1355 N.,$199.24,,$11317.84
08/07/2007,,VALUE CITY     0156,$53.33,,$11264.51
08/07/2007,0007311,CHECK,$185.00,,$11079.51
08/15/2007,0007269,CHECK,$40.00,,$11039.51
08/16/2007,0007318,CHECK,$100.00,,$10939.51
08/17/2007,,DEPOSIT,,$495.16,$11434.67
08/17/2007,0007316,DOM VA NC POWER BILLPYMT,$149.00,,$11285.67
08/17/2007,,POTOMAC RUN #2,$140.00,,$11145.67
08/20/2007,,POTOMAC RUN #1,$200.00,,$10945.67
08/20/2007,,SOU GIANT FOOD INC 532,$39.88,,$10905.79
08/20/2007,0007315,CHECK,$15.00,,$10890.79
08/20/2007,0007317,CHECK,$19.30,,$10871.49
08/21/2007,,INTEREST PAYMENT,,$0.93,$10872.42
08/21/2007,0007313,CHECK,$292.20,,$10580.22
08/21/2007,0007312,CHECK,$1140.00,,$9440.22
