03/21/2006,6822,"CHECK",22.05,,1
03/23/2006,6823,"AMERICAN EXPRESSCHECK PYMT",1875,,1
03/24/2006,6824,"CHECK",15,,1
03/23/2006,6825,"CHECK",407.9,,1
03/23/2006,6826,"CHECK",54.45,,1
03/28/2006,6827,"CHECK",66.1,,1
03/28/2006,6828,"CHECK",95.93,,1
03/27/2006,6829,"OLD NAVY OUTLET PURCHASE",56.65,,1
"99/99/9999",6829,"VOID CHECK",0,,0
04/06/2006,6830,"CHECK",850,,1
03/29/2006,6831,"CHECK",604,,1
04/03/2006,6832,"CHECK",72.99,,1
04/03/2006,6833,"CHECK",143,,1
"99/99/9999",6834,"VOID CHECK",0,,1
04/13/2006,6835,"CHECK",90,,1
04/13/2006,6836,"CHECK",15,,1
04/10/2006,6837,"CHECK",15,,1
03/28/2006,6838,"CHECK",81.86,,1
04/03/2006,6839,"CHECK",201.93,,1
04/10/2006,6840,"CHECK",100,,1
04/03/2006,6841,"CHECK",23.95,,1
04/04/2006,6842,"CHECK",55.23,,1
05/10/2006,6843,"CHECK",147,,1
04/11/2006,6844,"CHECK",12,,1
04/05/2006,6845,"CHECK",16.36,,1
04/04/2006,6846,"CHECK",18.33,,1
04/05/2006,6847,"CHECK",405,,1
04/06/2006,6848,"CHECK",84.61,,1
04/13/2006,6849,"CHECK",15,,1
04/19/2006,6850,"CHECK",300,,1
04/12/2006,6851,"CHECK",625,,1
04/11/2006,6852,"CHECK",60,,1
04/20/2006,6853,"CHECK",80,,1
04/11/2006,6854,"CHECK",8,,1
04/11/2006,6855,"CHECK",8,,1
04/11/2006,6856,"CHECK",16,,1
04/11/2006,6857,"CHECK",280,,1
04/11/2006,6858,"DOM VA NC POWER BILLPYMT",91,,1
04/18/2006,6859,"CHECK",20,,1
04/12/2006,6860,"CHECK",15,,1
05/03/2006,6861,"CHECK",850,,1
04/20/2006,6862,"CHECK",520,,1
04/12/2006,6863,"CHECK",26,,1
06/22/2006,6864,"CHECK",50,,1
04/17/2006,6865,"CHECK",62.43,,1
04/20/2006,6866,"CHECK",176.35,,1
04/21/2006,6867,"CHECK",370,,1
04/25/2006,6868,"CHECK",18,,1
04/24/2006,6869,"CHECK",131.75,,1
05/03/2006,6870,"CHECK",850,,1
04/25/2006,6871,"CHECK",66,,1
04/25/2006,6872,"WASH GAS UTILITYCHECKPAYMT",152,,1
04/24/2006,6873,"CHECK",108,,1
04/26/2006,6874,"CHECK",480,,1
04/28/2006,6875,"CHECK",1427,,1
04/28/2006,6876,"AMERICAN EXPRESSCHECK PYMT",1026,,1
04/25/2006,6877,"CHECK",32.19,,1
05/22/2006,6878,"CHECK",25,,1
