Date,Check Number,Description,Debit,Credit,Running Balance

06/19/2008,0007518,CHECK,$69.00,,$10229.76
06/19/2008,0007473,CHECK,$145.00,,$10084.76
06/20/2008,0007519,CHECK,$100.00,,$9984.76
06/24/2008,0007520,CHECK,$20.00,,$9964.76
06/25/2008,,SPRADLIN FARM,$200.00,,$9764.76
06/26/2008,,STATE FARM RO 27SFPP,$177.89,,$9586.87
06/30/2008,,FIDELITY EMP SVCZETA,,$8425.60,$18012.47
06/30/2008,,DEPOSIT,,$994.15,$19006.62
06/30/2008,0007504,CHECK,$40.00,,$18966.62
06/30/2008,0007482,CHECK,$120.00,,$18846.62
07/01/2008,0007523,CHECK,$50.00,,$18796.62
07/02/2008,0007521,CHASE           CHECK PYMT,$67.00,,$18729.62
07/02/2008,,FAIR OAKS,$60.00,,$18669.62
07/03/2008,0007522,VZ WIRELESS ARC ARC,$103.00,,$18566.62
07/07/2008,,DEPOSIT,,$6350.00,$24916.62
07/07/2008,,POTOMAC RUN #2,$200.00,,$24716.62
07/07/2008,,SHOPPERS FOOD/PHARM 26,$103.78,,$24612.84
07/07/2008,0007524,CHECK,$2000.00,,$22612.84
07/08/2008,0007529,CHASE           CHECK PYMT,$2735.00,,$19877.84
07/09/2008,0007526,DOM VA NC POWER BILLPYMT,$161.00,,$19716.84
07/09/2008,0007531,CHECK,$14.20,,$19702.64
07/09/2008,0007525,CHECK,$20.00,,$19682.64
07/09/2008,0007532,CHECK,$300.00,,$19382.64
07/11/2008,0007528,CHECK,$200.00,,$19182.64
07/11/2008,0007527,CHECK,$500.00,,$18682.64
