Date,Check Number,Description,Debit,Credit,Running Balance

01/23/2006,,SFWY 1084 PIDGEON HILL,$120.00,,$6920.37
01/24/2006,0006759,CHECK,$80.78,,$6839.59
01/24/2006,0006755,CHECK,$229.00,,$6610.59
01/26/2006,,ITT ADVANCED ENGPAYROLL,,$3370.15,$9980.74
01/26/2006,,POTOMAC RUN 2,$40.00,,$9940.74
01/30/2006,,DEPOSIT,,$118.41,$10059.15
01/30/2006,,POTOMAC RUN 2,$20.00,,$10039.15
01/30/2006,0006758,CHECK,$20.00,,$10019.15
01/30/2006,0006762,CHECK,$368.82,,$9650.33
01/30/2006,0006706,CHECK,$850.00,,$8800.33
01/30/2006,0006737,CHECK,$850.00,,$7950.33
01/31/2006,0006773,CHECK,$320.00,,$7630.33
01/31/2006,0006761,CHECK,$4.06,,$7626.27
01/31/2006,0006765,CHECK,$200.00,,$7426.27
02/01/2006,0006769,DOM VA NC POWER BILLPYMT,$96.00,,$7330.27
02/01/2006,0006772,CHECK,$87.08,,$7243.19
02/01/2006,0006770,CHECK,$129.00,,$7114.19
02/02/2006,,SFWY 1084 PIDGEON HILL,$20.00,,$7094.19
02/02/2006,0006756,CHECK,$80.00,,$7014.19
02/02/2006,0006768,CHECK,$752.00,,$6262.19
02/03/2006,0006774,CHECK,$130.47,,$6131.72
02/07/2006,,CHECK,$39.00,,$6092.72
02/08/2006,0006764,CHECK,$9.00,,$6083.72
02/09/2006,,ITT ADVANCED ENGPAYROLL,,$3312.73,$9396.45
02/09/2006,0006775,CHECK,$80.00,,$9316.45
02/09/2006,0006776,CHECK,$80.00,,$9236.45
02/10/2006,,PROGRESSIVE INS.INS PREM,$320.54,,$8915.91
02/13/2006,,COUNTRYSIDE,$200.00,,$8715.91
02/13/2006,0006748,CHECK,$850.00,,$7865.91
02/13/2006,0006767,CHECK,$850.00,,$7015.91
02/14/2006,,DEPOSIT,,$60.79,$7076.70
02/14/2006,0006779,AMERICAN EXPRESSCHECK PYMT,$11.11,,$7065.59
02/14/2006,0006754,CHECK,$20.00,,$7045.59
02/14/2006,0006777,CHECK,$144.03,,$6901.56
02/14/2006,0006782,CHECK,$263.00,,$6638.56
02/15/2006,0006785,CHECK,$5.28,,$6633.28
02/15/2006,0006784,CHECK,$129.00,,$6504.28
02/15/2006,0006781,CHECK,$144.00,,$6360.28
02/16/2006,0006780,CHECK,$15.00,,$6345.28
02/17/2006,,INTEREST PAYMENT,,$0.57,$6345.85
02/17/2006,0006783,CHECK,$65.00,,$6280.85
02/17/2006,0006786,CHECK,$84.76,,$6196.09

	
