Date,Check Number,Description,Debit,Credit,Running Balance

10/23/2007,0007366,CHECK,$80.00,,$6036.61
10/24/2007,,AMERICAN EXPRESSELEC REMIT,$634.13,,$5402.48
10/26/2007,,STATE FARM RO 27SFPP,$265.44,,$5137.04
10/26/2007,0007341,CHECK,$62.50,,$5074.54
10/29/2007,,DEPOSIT,,$3967.42,$9041.96
10/29/2007,,POTOMAC RUN #1,$120.00,,$8921.96
10/29/2007,,SHOPPERS FOOD/PHARM 26,$49.39,,$8872.57
10/29/2007,0007362,CHECK,$50.00,,$8822.57
10/31/2007,,FIDELITY EMP SVCZETA,,$9845.11,$18667.68
11/01/2007,,SHOPPERS FOOD/PHARM 26,$44.95,,$18622.73
11/02/2007,0007372,DOM VA NC POWER BILLPYMT,$133.00,,$18489.73
11/02/2007,,CVS 1409 401 STERLING,$29.33,,$18460.40
11/05/2007,0007370,CHASE           CHECK PYMT,$90.00,,$18370.40
11/05/2007,0007371,VZ WIRELESS ARC ARC,$97.00,,$18273.40
11/05/2007,0007369,CHASE           CHECK PYMT,$2925.00,,$15348.40
11/05/2007,,SHOPPERS FOOD/PHARM 26,$7.39,,$15341.01
11/05/2007,,AMERICAN EAGLE,$36.65,,$15304.36
11/05/2007,,TARGET T1009 STERLING,$41.01,,$15263.35
11/05/2007,,CNS PACSUN         430,$53.54,,$15209.81
11/05/2007,0007368,CHECK,$170.00,,$15039.81
11/06/2007,,SOUTH LAKES,$60.00,,$14979.81
11/07/2007,,SHOPPERS FOOD /,$24.76,,$14955.05
11/07/2007,0007377,CHECK,$1243.00,,$13712.05
11/08/2007,,SHOPPERS FOOD/PHARM 26,$37.95,,$13674.10
11/08/2007,0007378,CHECK,$154.00,,$13520.10
11/08/2007,0007376,CHECK,$300.00,,$13220.10
11/13/2007,0007379,Wash Gas UtilityCHECK PYMT,$48.00,,$13172.10
11/13/2007,,PLAZA AMERICA #1,$80.00,,$13092.10
11/13/2007,0007373,CHECK,$600.00,,$12492.10
11/13/2007,0007383,CHECK,$24.00,,$12468.10
11/14/2007,,DEPOSIT,,$57.42,$12525.52
11/14/2007,,MELODEE MUSIC,$83.99,,$12441.53
11/14/2007,0007374,CHECK,$15.00,,$12426.53
11/15/2007,,COSTPLUS,$20.98,,$12405.55
11/15/2007,,SOU BEST BUY/MHT #1332,$36.73,,$12368.82
11/15/2007,,WAL-MART #2038,$70.21,,$12298.61
11/16/2007,,HARRIS TEETER #0081,$66.03,,$12232.58
11/16/2007,0007375,CHECK,$1700.00,,$10532.58
11/19/2007,,INTEREST PAYMENT,,$0.95,$10533.53
11/19/2007,,DEPOSIT,,$278.00,$10811.53
11/19/2007,,SWEETWATER TAVER,$40.00,,$10771.53
11/19/2007,,WEGMANS 45131 COLUMBIA,$35.81,,$10735.72
11/19/2007,,TARGET T2272 STERLING,$144.58,,$10591.14
11/19/2007,0007363,CHECK,$20.00,,$10571.14
